title,is_favorite,date_added,confidence,notes
Big Trouble in Little China,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bill and Ted’s Bogus Journey,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bill and Ted’s Excellent Adventure,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Billy Madison,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bio-Dome,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bird Box,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Birdcage,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Birdman,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Birds,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Black Hawk Down,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Black Mass,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Black Sheep,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Black Swan,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blackfish,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blade Runner,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blade Runner 2049,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Blair Witch Project,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blazing Saddles,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Blind Side,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blood Diamond,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blow,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Blue Streak,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Blues Brothers,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bo Burnham: Make Happy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Body of Lies,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bohemian Rhapsody,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bolt,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bomb It,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
